train_tss_values,val_tss_values,train_hss_values,val_hss_values,train_loss_values,val_loss_values,learning_rate,train_time,val_time
0.2814268602473471,0.4770399629333462,0.18687525007831265,0.30085879041020125,0.615978490423909,0.5140096407447909,0.0001,1362.5287194345146,65.6868821773678
0.4261314693502766,0.4818465457596896,0.3038762855639356,0.31792138962626926,0.5450816574733928,0.49189594834400663,0.0001,1346.1491499375552,64.85547736659646
0.4877968982465257,0.498235838648867,0.3592291392721844,0.35967685022799717,0.5099445830361085,0.4381843550644558,0.0001,1347.0964966192842,64.72630415298045
0.5244869892250512,0.5266207406752995,0.3942749815940335,0.37680595901860237,0.4851956766630922,0.4388460528651445,0.0001,1347.6093935463578,64.68790729902685
0.5429966512470656,0.5326881759493617,0.4131007728580918,0.3974335584124163,0.47104509030618974,0.4173883363315514,5e-05,1347.740949852392,64.85299532674253
0.5537394798847108,0.5529638529944437,0.4242337219235535,0.402574577480021,0.46361763258614846,0.4255008205353957,5e-05,1347.9520827569067,64.13799592107534
0.5624825066936128,0.5593335488307339,0.432261558492366,0.4120157900194613,0.45864027927410767,0.4169512017919072,5e-05,1346.2760171797127,64.64546504430473
0.5701524649443259,0.5695912113389613,0.44027809683490965,0.4155751441703261,0.45171255999446464,0.41903609943833076,5e-05,1346.097874486819,64.26838122494519
0.5713232672360731,0.5487379847470224,0.4413045967583133,0.4369305773465919,0.44977347583677363,0.3833618185097544,5e-05,1345.8116217646748,64.24350532330573
0.5777772240430583,0.575104009146117,0.44852510015108554,0.42466724532332695,0.4441416787352705,0.41111265587748896,2.5e-05,1345.9364521354437,64.4100931622088
0.5802528395391975,0.5744566912837357,0.4504872777241147,0.43218905968139226,0.44282430275622325,0.4017006819345185,2.5e-05,1346.4853677488863,64.52339114248753
0.5839161200158409,0.5658821377837537,0.45448543493119337,0.4366608692475818,0.4398228103458057,0.39103333014545255,2.5e-05,1346.5530672762543,64.7311216648668
